#增加少数民族地区"自治州"的处理
#如"湖南省湘西州"替换为"湖南省湘西土家族苗族自治州"
甘肃省甘南州,甘肃省甘南藏族自治州
甘肃省临夏州,甘肃省临夏回族自治州
贵州省黔东南州,贵州省黔东南苗族侗族自治州
贵州省黔南州,贵州省黔南布依族苗族自治州
贵州省黔西南州,贵州省黔西南布依族苗族自治州
湖北省恩施州,湖北省恩施土家族苗族自治州
湖南省湘西州,湖南省湘西土家族苗族自治州
吉林省延边州,吉林省延边朝鲜族自治州
青海省果洛州,青海省果洛藏族自治州
青海省海北州,青海省海北藏族自治州
青海省海南州,青海省海南藏族自治州
青海省海西州,青海省海西蒙古族藏族自治州
青海省黄南州,青海省黄南藏族自治州
青海省玉树州,青海省玉树藏族自治州
四川省阿坝州,四川省阿坝藏族羌族自治州
四川省甘孜州,四川省甘孜藏族自治州
四川省凉山州,四川省凉山彝族自治州
新疆巴音郭楞州,新疆巴音郭楞蒙古自治州
新疆博尔塔拉州,新疆博尔塔拉蒙古自治州
新疆昌吉州,新疆昌吉回族自治州
新疆克孜勒苏柯尔克孜州,新疆克孜勒苏柯尔克孜自治州
新疆伊犁州,新疆伊犁哈萨克自治州
云南省楚雄州,云南省楚雄彝族自治州
云南省大理州,云南省大理白族自治州
云南省德宏州,云南省德宏傣族景颇族自治州
云南省迪庆州,云南省迪庆藏族自治州
云南省红河州,云南省红河哈尼族彝族自治州
云南省怒江州,云南省怒江傈僳族自治州
云南省文山州,云南省文山壮族苗族自治州
云南省西双版纳州,云南省西双版纳傣族自治州
